,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,added_at,weight,liveness
11xILcyUmIjr2XpM6mpEvA,0.456,https://api.spotify.com/v1/audio-analysis/11xILcyUmIjr2XpM6mpEvA,0.877,197205,0.452,11xILcyUmIjr2XpM6mpEvA,4.37e-06,9,-5.773,0,0.0898,110.021,4,https://api.spotify.com/v1/tracks/11xILcyUmIjr2XpM6mpEvA,audio_features,spotify:track:11xILcyUmIjr2XpM6mpEvA,0.89,,1,0.139
3IjggA4afQs8t5rUQCBgLF,0.469,https://api.spotify.com/v1/audio-analysis/3IjggA4afQs8t5rUQCBgLF,0.837,280085,0.521,3IjggA4afQs8t5rUQCBgLF,0.0476,10,-6.083,1,0.0396,112.015,4,https://api.spotify.com/v1/tracks/3IjggA4afQs8t5rUQCBgLF,audio_features,spotify:track:3IjggA4afQs8t5rUQCBgLF,0.699,,1,0.116
7Ffgp7DIow5wECYQyzEiTq,0.0116,https://api.spotify.com/v1/audio-analysis/7Ffgp7DIow5wECYQyzEiTq,0.72,146914,0.647,7Ffgp7DIow5wECYQyzEiTq,0.000206,1,-5.411,0,0.0642,157.877,4,https://api.spotify.com/v1/tracks/7Ffgp7DIow5wECYQyzEiTq,audio_features,spotify:track:7Ffgp7DIow5wECYQyzEiTq,0.809,,1,0.571
2Sxh2q1QIepsL1FBVY8HTh,0.466,https://api.spotify.com/v1/audio-analysis/2Sxh2q1QIepsL1FBVY8HTh,0.663,215693,0.609,2Sxh2q1QIepsL1FBVY8HTh,0,5,-6.811,1,0.265,91.005,4,https://api.spotify.com/v1/tracks/2Sxh2q1QIepsL1FBVY8HTh,audio_features,spotify:track:2Sxh2q1QIepsL1FBVY8HTh,0.697,,1,0.118
08iZ1xoqxBCzoZJjXdZKKa,0.0199,https://api.spotify.com/v1/audio-analysis/08iZ1xoqxBCzoZJjXdZKKa,0.804,156039,0.558,08iZ1xoqxBCzoZJjXdZKKa,0,9,-4.619,0,0.118,153.826,4,https://api.spotify.com/v1/tracks/08iZ1xoqxBCzoZJjXdZKKa,audio_features,spotify:track:08iZ1xoqxBCzoZJjXdZKKa,0.823,,1,0.0794
3BeQzzSxNb7lzN1pJwXXDf,0.171,https://api.spotify.com/v1/audio-analysis/3BeQzzSxNb7lzN1pJwXXDf,0.526,255170,0.584,3BeQzzSxNb7lzN1pJwXXDf,0,5,-6.414,1,0.194,176.359,4,https://api.spotify.com/v1/tracks/3BeQzzSxNb7lzN1pJwXXDf,audio_features,spotify:track:3BeQzzSxNb7lzN1pJwXXDf,0.599,,1,0.0503
73tyOM7hObuzyqG1smXMnh,0.208,https://api.spotify.com/v1/audio-analysis/73tyOM7hObuzyqG1smXMnh,0.49,201675,0.682,73tyOM7hObuzyqG1smXMnh,0.000134,8,-8.383,0,0.265,94.227,4,https://api.spotify.com/v1/tracks/73tyOM7hObuzyqG1smXMnh,audio_features,spotify:track:73tyOM7hObuzyqG1smXMnh,0.684,,1,0.14
0h11wE1hTwKMxYd1NACgNb,0.156,https://api.spotify.com/v1/audio-analysis/0h11wE1hTwKMxYd1NACgNb,0.798,197455,0.504,0h11wE1hTwKMxYd1NACgNb,0.00448,11,-9.082,0,0.214,110.022,4,https://api.spotify.com/v1/tracks/0h11wE1hTwKMxYd1NACgNb,audio_features,spotify:track:0h11wE1hTwKMxYd1NACgNb,0.548,,1,0.0825
68OnIh4v10tWxZYJTsHJWX,0.636,https://api.spotify.com/v1/audio-analysis/68OnIh4v10tWxZYJTsHJWX,0.823,199533,0.441,68OnIh4v10tWxZYJTsHJWX,7.68e-05,8,-7.645,1,0.156,135.947,4,https://api.spotify.com/v1/tracks/68OnIh4v10tWxZYJTsHJWX,audio_features,spotify:track:68OnIh4v10tWxZYJTsHJWX,0.752,,1,0.114
79SwVzOYeZANQKa8v9IM8I,0.226,https://api.spotify.com/v1/audio-analysis/79SwVzOYeZANQKa8v9IM8I,0.702,205093,0.786,79SwVzOYeZANQKa8v9IM8I,0.0288,9,-8.498,0,0.0398,108.002,4,https://api.spotify.com/v1/tracks/79SwVzOYeZANQKa8v9IM8I,audio_features,spotify:track:79SwVzOYeZANQKa8v9IM8I,0.477,,1,0.101
3mC8VlVBwdVxCTq4cYZr64,0.00618,https://api.spotify.com/v1/audio-analysis/3mC8VlVBwdVxCTq4cYZr64,0.875,184882,0.813,3mC8VlVBwdVxCTq4cYZr64,0,7,-4.502,1,0.0579,114.993,4,https://api.spotify.com/v1/tracks/3mC8VlVBwdVxCTq4cYZr64,audio_features,spotify:track:3mC8VlVBwdVxCTq4cYZr64,0.859,,1,0.321
1dI77VhaLcQSgQLSnIs03D,0.0561,https://api.spotify.com/v1/audio-analysis/1dI77VhaLcQSgQLSnIs03D,0.695,203808,0.884,1dI77VhaLcQSgQLSnIs03D,0,6,-2.278,0,0.0753,103.014,4,https://api.spotify.com/v1/tracks/1dI77VhaLcQSgQLSnIs03D,audio_features,spotify:track:1dI77VhaLcQSgQLSnIs03D,0.914,,1,0.213
5Pc594FhDA2Fa2prE75GT0,0.0311,https://api.spotify.com/v1/audio-analysis/5Pc594FhDA2Fa2prE75GT0,0.906,194607,0.474,5Pc594FhDA2Fa2prE75GT0,5.5e-06,1,-6.124,1,0.194,106.976,4,https://api.spotify.com/v1/tracks/5Pc594FhDA2Fa2prE75GT0,audio_features,spotify:track:5Pc594FhDA2Fa2prE75GT0,0.656,,1,0.286
1imMjt1YGNebtrtTAprKV7,0.00173,https://api.spotify.com/v1/audio-analysis/1imMjt1YGNebtrtTAprKV7,0.659,258004,0.667,1imMjt1YGNebtrtTAprKV7,2.85e-05,11,-4.668,0,0.0339,115.982,4,https://api.spotify.com/v1/tracks/1imMjt1YGNebtrtTAprKV7,audio_features,spotify:track:1imMjt1YGNebtrtTAprKV7,0.468,,1,0.1
4P76CEIXrrWT2cgS1YrTMr,0.0244,https://api.spotify.com/v1/audio-analysis/4P76CEIXrrWT2cgS1YrTMr,0.715,205720,0.572,4P76CEIXrrWT2cgS1YrTMr,0,7,-6.853,1,0.0745,113.02,4,https://api.spotify.com/v1/tracks/4P76CEIXrrWT2cgS1YrTMr,audio_features,spotify:track:4P76CEIXrrWT2cgS1YrTMr,0.429,,1,0.26
7lvND7ssvO75rq628lGX3o,0.248,https://api.spotify.com/v1/audio-analysis/7lvND7ssvO75rq628lGX3o,0.844,204987,0.63,7lvND7ssvO75rq628lGX3o,0.000191,7,-7.794,1,0.147,114.001,4,https://api.spotify.com/v1/tracks/7lvND7ssvO75rq628lGX3o,audio_features,spotify:track:7lvND7ssvO75rq628lGX3o,0.827,,1,0.0752
2lCrzW554DvMg5TsRJXSuP,0.39,https://api.spotify.com/v1/audio-analysis/2lCrzW554DvMg5TsRJXSuP,0.718,192600,0.648,2lCrzW554DvMg5TsRJXSuP,0.169,4,-9.475,1,0.193,173.993,4,https://api.spotify.com/v1/tracks/2lCrzW554DvMg5TsRJXSuP,audio_features,spotify:track:2lCrzW554DvMg5TsRJXSuP,0.643,,1,0.349
5O7ivZ60NXuzWi1Myvk0U2,0.397,https://api.spotify.com/v1/audio-analysis/5O7ivZ60NXuzWi1Myvk0U2,0.724,230175,0.664,5O7ivZ60NXuzWi1Myvk0U2,0.000169,8,-6.626,0,0.309,139.847,4,https://api.spotify.com/v1/tracks/5O7ivZ60NXuzWi1Myvk0U2,audio_features,spotify:track:5O7ivZ60NXuzWi1Myvk0U2,0.599,,1,0.224
2t5ebbh0zWyTIe02d6kv8Y,0.652,https://api.spotify.com/v1/audio-analysis/2t5ebbh0zWyTIe02d6kv8Y,0.774,159812,0.779,2t5ebbh0zWyTIe02d6kv8Y,2.35e-05,9,-5.037,0,0.0593,111.998,4,https://api.spotify.com/v1/tracks/2t5ebbh0zWyTIe02d6kv8Y,audio_features,spotify:track:2t5ebbh0zWyTIe02d6kv8Y,0.963,,1,0.206
22T9ITJnpNi3U7dnqWVR6e,0.27,https://api.spotify.com/v1/audio-analysis/22T9ITJnpNi3U7dnqWVR6e,0.785,232421,0.47,22T9ITJnpNi3U7dnqWVR6e,0.000221,1,-9.462,0,0.141,95.01,4,https://api.spotify.com/v1/tracks/22T9ITJnpNi3U7dnqWVR6e,audio_features,spotify:track:22T9ITJnpNi3U7dnqWVR6e,0.731,,1,0.0743
0jbXU9klOFTBu5GK1HWaFe,0.357,https://api.spotify.com/v1/audio-analysis/0jbXU9klOFTBu5GK1HWaFe,0.648,187973,0.745,0jbXU9klOFTBu5GK1HWaFe,0.0175,10,-7.911,0,0.0728,174.037,4,https://api.spotify.com/v1/tracks/0jbXU9klOFTBu5GK1HWaFe,audio_features,spotify:track:0jbXU9klOFTBu5GK1HWaFe,0.96,,1,0.161
6vrFIzWogs4kLbCSMsjnRC,0.257,https://api.spotify.com/v1/audio-analysis/6vrFIzWogs4kLbCSMsjnRC,0.561,212611,0.583,6vrFIzWogs4kLbCSMsjnRC,0,0,-7.091,1,0.182,86.352,4,https://api.spotify.com/v1/tracks/6vrFIzWogs4kLbCSMsjnRC,audio_features,spotify:track:6vrFIzWogs4kLbCSMsjnRC,0.314,,1,0.117
5y3bKiKKRKEeuPPwuxMyUA,0.45,https://api.spotify.com/v1/audio-analysis/5y3bKiKKRKEeuPPwuxMyUA,0.725,151733,0.472,5y3bKiKKRKEeuPPwuxMyUA,0.00106,7,-6.883,1,0.11,104.835,4,https://api.spotify.com/v1/tracks/5y3bKiKKRKEeuPPwuxMyUA,audio_features,spotify:track:5y3bKiKKRKEeuPPwuxMyUA,0.457,,1,0.159
3vJgLX7Q0En7PgeFhchPiK,0.0494,https://api.spotify.com/v1/audio-analysis/3vJgLX7Q0En7PgeFhchPiK,0.819,266000,0.38,3vJgLX7Q0En7PgeFhchPiK,0.000648,2,-13.6,1,0.0865,119.965,4,https://api.spotify.com/v1/tracks/3vJgLX7Q0En7PgeFhchPiK,audio_features,spotify:track:3vJgLX7Q0En7PgeFhchPiK,0.634,,1,0.258
4ApwuKgd7lEopLTxSA8oDZ,0.159,https://api.spotify.com/v1/audio-analysis/4ApwuKgd7lEopLTxSA8oDZ,0.659,165333,0.702,4ApwuKgd7lEopLTxSA8oDZ,0,11,-4.784,0,0.0598,156.071,4,https://api.spotify.com/v1/tracks/4ApwuKgd7lEopLTxSA8oDZ,audio_features,spotify:track:4ApwuKgd7lEopLTxSA8oDZ,0.698,,1,0.216
7bhpOnHyttMaBCg6WGCRzi,0.45,https://api.spotify.com/v1/audio-analysis/7bhpOnHyttMaBCg6WGCRzi,0.592,166613,0.837,7bhpOnHyttMaBCg6WGCRzi,0.0222,4,-6.987,0,0.0375,167.992,4,https://api.spotify.com/v1/tracks/7bhpOnHyttMaBCg6WGCRzi,audio_features,spotify:track:7bhpOnHyttMaBCg6WGCRzi,0.67,,1,0.145
1GIKDc28Z95bWSIXgkr3y3,0.419,https://api.spotify.com/v1/audio-analysis/1GIKDc28Z95bWSIXgkr3y3,0.661,226866,0.587,1GIKDc28Z95bWSIXgkr3y3,6.78e-06,11,-9.929,0,0.197,119.934,4,https://api.spotify.com/v1/tracks/1GIKDc28Z95bWSIXgkr3y3,audio_features,spotify:track:1GIKDc28Z95bWSIXgkr3y3,0.18,,1,0.108
6RKe6VHarulhspvFVaMENf,0.22,https://api.spotify.com/v1/audio-analysis/6RKe6VHarulhspvFVaMENf,0.664,172493,0.543,6RKe6VHarulhspvFVaMENf,1.86e-06,1,-9.441,0,0.249,157.961,4,https://api.spotify.com/v1/tracks/6RKe6VHarulhspvFVaMENf,audio_features,spotify:track:6RKe6VHarulhspvFVaMENf,0.31,,1,0.2
4as4XEOR03oGm1STUKl6pa,0.241,https://api.spotify.com/v1/audio-analysis/4as4XEOR03oGm1STUKl6pa,0.839,194426,0.617,4as4XEOR03oGm1STUKl6pa,0,7,-4.692,1,0.331,143.894,4,https://api.spotify.com/v1/tracks/4as4XEOR03oGm1STUKl6pa,audio_features,spotify:track:4as4XEOR03oGm1STUKl6pa,0.821,,1,0.3
2IldbLkSp3MQ1z5cv0g01o,0.457,https://api.spotify.com/v1/audio-analysis/2IldbLkSp3MQ1z5cv0g01o,0.832,202286,0.475,2IldbLkSp3MQ1z5cv0g01o,0,3,-7.582,1,0.136,139.954,4,https://api.spotify.com/v1/tracks/2IldbLkSp3MQ1z5cv0g01o,audio_features,spotify:track:2IldbLkSp3MQ1z5cv0g01o,0.878,,1,0.178
4dGuRldChjvboZktprNJFM,0.403,https://api.spotify.com/v1/audio-analysis/4dGuRldChjvboZktprNJFM,0.708,182347,0.554,4dGuRldChjvboZktprNJFM,0.0428,10,-6.83,0,0.0311,103.999,4,https://api.spotify.com/v1/tracks/4dGuRldChjvboZktprNJFM,audio_features,spotify:track:4dGuRldChjvboZktprNJFM,0.564,,1,0.126
5STe0hPlbFwIk0OkjNRJLa,0.125,https://api.spotify.com/v1/audio-analysis/5STe0hPlbFwIk0OkjNRJLa,0.78,207328,0.715,5STe0hPlbFwIk0OkjNRJLa,9.31e-06,0,-4.606,1,0.102,125.015,4,https://api.spotify.com/v1/tracks/5STe0hPlbFwIk0OkjNRJLa,audio_features,spotify:track:5STe0hPlbFwIk0OkjNRJLa,0.365,,1,0.218
